Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Greece,GRC,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2490302560124
Greece,GRC,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.4429790535299
Greece,GRC,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.233514352211
Greece,GRC,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.4197051978278
Greece,GRC,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.4197051978278
Greece,GRC,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2179984484096
Greece,GRC,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2257564003103
Greece,GRC,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1792086889061
Greece,GRC,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6904577191621
Greece,GRC,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.7137315748642
Greece,GRC,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.7370054305663
Greece,GRC,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9154383242824
Greece,GRC,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9309542280838
Greece,GRC,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0628394103957
Greece,GRC,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0240496508922
Greece,GRC,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0240496508922
Greece,GRC,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9387121799845
Greece,GRC,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9309542280838
Greece,GRC,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6982156710628
Greece,GRC,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.5197827773468
Greece,GRC,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.3235065942591
Greece,GRC,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.7517455391777
Greece,GRC,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.9844840961986
Greece,GRC,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.0612878200155
Greece,GRC,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.1233514352211
Greece,GRC,2018,Arable land (hectares),AG.LND.ARBL.HA,2136600
Greece,GRC,2017,Arable land (hectares),AG.LND.ARBL.HA,2138000
Greece,GRC,2016,Arable land (hectares),AG.LND.ARBL.HA,2140000
Greece,GRC,2015,Arable land (hectares),AG.LND.ARBL.HA,2171000
Greece,GRC,2014,Arable land (hectares),AG.LND.ARBL.HA,2224000
